country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-15,7,5,28,4,6,-1
AU,Australia,New South Wales,,AU-NSW,,2020-02-15,4,5,1,10,3,-1
AU,Australia,Northern Territory,,AU-NT,,2020-02-15,7,8,10,-3,2,0
AU,Australia,Queensland,,AU-QLD,,2020-02-15,3,4,-8,-2,1,1
AU,Australia,South Australia,,AU-SA,,2020-02-15,6,2,5,4,2,0
AU,Australia,Tasmania,,AU-TAS,,2020-02-15,2,-1,-14,-4,0,1
AU,Australia,Victoria,,AU-VIC,,2020-02-15,3,3,-22,1,3,1
AU,Australia,Western Australia,,AU-WA,,2020-02-15,7,3,-1,12,2,0
AU,Australia,,,,,2020-02-15,4,3,-2,3,3,0
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-16,8,19,34,16,2,-2
AU,Australia,New South Wales,,AU-NSW,,2020-02-16,5,6,13,6,-1,0
AU,Australia,Northern Territory,,AU-NT,,2020-02-16,4,14,6,-2,2,2
AU,Australia,Queensland,,AU-QLD,,2020-02-16,2,3,-9,-4,-1,1
AU,Australia,South Australia,,AU-SA,,2020-02-16,1,2,15,1,-2,0
AU,Australia,Tasmania,,AU-TAS,,2020-02-16,1,2,-7,1,1,1
AU,Australia,Victoria,,AU-VIC,,2020-02-16,3,4,2,0,-2,0
AU,Australia,Western Australia,,AU-WA,,2020-02-16,5,4,2,2,0,1
AU,Australia,,,,,2020-02-16,3,5,9,3,-1,0
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-17,-1,10,9,21,25,-4
AU,Australia,New South Wales,,AU-NSW,,2020-02-17,-2,0,-17,6,17,-1
AU,Australia,Northern Territory,,AU-NT,,2020-02-17,3,3,21,8,21,-1
AU,Australia,Queensland,,AU-QLD,,2020-02-17,-2,1,-14,4,16,-1
AU,Australia,South Australia,,AU-SA,,2020-02-17,-1,0,-3,10,17,-2
AU,Australia,Tasmania,,AU-TAS,,2020-02-17,-3,0,-17,12,19,-2
AU,Australia,Victoria,,AU-VIC,,2020-02-17,-1,1,26,11,18,-3
AU,Australia,Western Australia,,AU-WA,,2020-02-17,-1,0,-7,8,17,-1
AU,Australia,,,,,2020-02-17,-1,0,-6,7,17,-2
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-18,-2,-1,-11,12,24,-2
AU,Australia,New South Wales,,AU-NSW,,2020-02-18,-3,-2,-11,7,14,-2
AU,Australia,Northern Territory,,AU-NT,,2020-02-18,0,-4,5,4,15,-1
AU,Australia,Queensland,,AU-QLD,,2020-02-18,-2,1,-1,5,12,-2
AU,Australia,South Australia,,AU-SA,,2020-02-18,-2,-1,-13,7,13,-1
AU,Australia,Tasmania,,AU-TAS,,2020-02-18,-3,-2,-9,4,15,-1
AU,Australia,Victoria,,AU-VIC,,2020-02-18,-6,-6,-27,5,13,0
AU,Australia,Western Australia,,AU-WA,,2020-02-18,-1,1,-2,8,16,-1
AU,Australia,,,,,2020-02-18,-3,-2,-13,7,14,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-19,2,9,12,17,22,-3
AU,Australia,New South Wales,,AU-NSW,,2020-02-19,-2,-1,-2,8,14,-2
AU,Australia,Northern Territory,,AU-NT,,2020-02-19,6,2,13,0,16,-1
AU,Australia,Queensland,,AU-QLD,,2020-02-19,-3,-1,-6,4,10,-1
AU,Australia,South Australia,,AU-SA,,2020-02-19,0,0,2,6,13,-1
AU,Australia,Tasmania,,AU-TAS,,2020-02-19,-3,-2,-17,0,15,0
AU,Australia,Victoria,,AU-VIC,,2020-02-19,-2,-2,-17,6,13,-1
AU,Australia,Western Australia,,AU-WA,,2020-02-19,-1,0,-3,7,15,-1
AU,Australia,,,,,2020-02-19,-1,-1,-6,8,13,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-20,8,7,16,20,21,-4
AU,Australia,New South Wales,,AU-NSW,,2020-02-20,2,1,4,9,15,-2
AU,Australia,Northern Territory,,AU-NT,,2020-02-20,4,0,3,4,14,-1
AU,Australia,Queensland,,AU-QLD,,2020-02-20,-1,1,2,6,10,-2
AU,Australia,South Australia,,AU-SA,,2020-02-20,4,2,8,10,11,-1
AU,Australia,Tasmania,,AU-TAS,,2020-02-20,1,0,10,8,18,-1
AU,Australia,Victoria,,AU-VIC,,2020-02-20,-1,0,-2,9,14,-2
AU,Australia,Western Australia,,AU-WA,,2020-02-20,0,0,-4,8,15,-1
AU,Australia,,,,,2020-02-20,0,1,5,9,13,-2
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-21,9,6,51,24,25,-4
AU,Australia,New South Wales,,AU-NSW,,2020-02-21,1,2,-2,10,17,-3
AU,Australia,Northern Territory,,AU-NT,,2020-02-21,7,8,-5,6,20,-2
AU,Australia,Queensland,,AU-QLD,,2020-02-21,-1,1,-5,5,15,-2
AU,Australia,South Australia,,AU-SA,,2020-02-21,5,2,9,19,15,-3
AU,Australia,Tasmania,,AU-TAS,,2020-02-21,1,0,-3,6,16,-1
AU,Australia,Victoria,,AU-VIC,,2020-02-21,8,2,-4,13,15,-3
AU,Australia,Western Australia,,AU-WA,,2020-02-21,2,3,-4,8,16,-2
AU,Australia,,,,,2020-02-21,3,4,-1,12,16,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-22,21,6,160,44,10,-4
AU,Australia,New South Wales,,AU-NSW,,2020-02-22,4,6,-6,8,3,-1
AU,Australia,Northern Territory,,AU-NT,,2020-02-22,12,8,12,-2,3,0
AU,Australia,Queensland,,AU-QLD,,2020-02-22,3,3,-6,3,1,0
AU,Australia,South Australia,,AU-SA,,2020-02-22,8,1,23,15,2,-1
AU,Australia,Tasmania,,AU-TAS,,2020-02-22,2,-1,4,3,0,0
AU,Australia,Victoria,,AU-VIC,,2020-02-22,7,4,23,18,4,-1
AU,Australia,Western Australia,,AU-WA,,2020-02-22,5,5,1,6,3,0
AU,Australia,,,,,2020-02-22,5,4,10,8,3,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-23,11,19,61,25,3,-3
AU,Australia,New South Wales,,AU-NSW,,2020-02-23,3,6,7,1,-1,0
AU,Australia,Northern Territory,,AU-NT,,2020-02-23,7,9,1,7,3,1
AU,Australia,Queensland,,AU-QLD,,2020-02-23,1,2,-23,-5,-2,1
AU,Australia,South Australia,,AU-SA,,2020-02-23,2,2,27,9,-2,-1
AU,Australia,Tasmania,,AU-TAS,,2020-02-23,0,1,-9,2,-1,0
AU,Australia,Victoria,,AU-VIC,,2020-02-23,4,4,19,8,-3,-1
AU,Australia,Western Australia,,AU-WA,,2020-02-23,8,3,-2,11,1,0
AU,Australia,,,,,2020-02-23,3,4,9,4,-2,0
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-24,1,11,5,19,27,-3
AU,Australia,New South Wales,,AU-NSW,,2020-02-24,-1,1,-5,7,17,-2
AU,Australia,Northern Territory,,AU-NT,,2020-02-24,7,4,31,11,22,-2
AU,Australia,Queensland,,AU-QLD,,2020-02-24,-4,-1,-29,5,17,-1
AU,Australia,South Australia,,AU-SA,,2020-02-24,-1,2,-5,14,16,-1
AU,Australia,Tasmania,,AU-TAS,,2020-02-24,-5,-2,-20,14,19,-1
AU,Australia,Victoria,,AU-VIC,,2020-02-24,-1,2,9,10,17,-2
AU,Australia,Western Australia,,AU-WA,,2020-02-24,-2,0,-14,10,17,-1
AU,Australia,,,,,2020-02-24,-1,1,-10,8,17,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-25,1,3,4,13,25,-3
AU,Australia,New South Wales,,AU-NSW,,2020-02-25,-3,-2,-4,9,15,-2
AU,Australia,Northern Territory,,AU-NT,,2020-02-25,5,-1,21,6,17,-2
AU,Australia,Queensland,,AU-QLD,,2020-02-25,-3,-1,-12,4,13,-1
AU,Australia,South Australia,,AU-SA,,2020-02-25,0,2,-1,10,14,-1
AU,Australia,Tasmania,,AU-TAS,,2020-02-25,-3,-1,-1,4,16,-1
AU,Australia,Victoria,,AU-VIC,,2020-02-25,-2,-2,-9,10,14,-1
AU,Australia,Western Australia,,AU-WA,,2020-02-25,-2,-1,-11,12,17,-1
AU,Australia,,,,,2020-02-25,-3,-1,-8,10,15,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-26,1,8,18,16,23,-3
AU,Australia,New South Wales,,AU-NSW,,2020-02-26,-3,-2,-3,7,14,-1
AU,Australia,Northern Territory,,AU-NT,,2020-02-26,7,5,5,5,18,-1
AU,Australia,Queensland,,AU-QLD,,2020-02-26,-3,-1,-5,7,11,-1
AU,Australia,South Australia,,AU-SA,,2020-02-26,4,0,2,20,13,-2
AU,Australia,Tasmania,,AU-TAS,,2020-02-26,-3,-4,-19,0,10,1
AU,Australia,Victoria,,AU-VIC,,2020-02-26,0,2,-2,10,14,-2
AU,Australia,Western Australia,,AU-WA,,2020-02-26,-3,0,-20,9,16,-1
AU,Australia,,,,,2020-02-26,-1,0,-5,10,14,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-27,7,7,18,22,21,-4
AU,Australia,New South Wales,,AU-NSW,,2020-02-27,3,3,4,10,15,-2
AU,Australia,Northern Territory,,AU-NT,,2020-02-27,3,0,-3,4,13,1
AU,Australia,Queensland,,AU-QLD,,2020-02-27,-4,0,-10,6,11,-1
AU,Australia,South Australia,,AU-SA,,2020-02-27,4,3,5,13,12,-1
AU,Australia,Tasmania,,AU-TAS,,2020-02-27,-2,-2,-6,9,18,0
AU,Australia,Victoria,,AU-VIC,,2020-02-27,0,1,0,12,15,-2
AU,Australia,Western Australia,,AU-WA,,2020-02-27,-3,-3,-28,9,15,0
AU,Australia,,,,,2020-02-27,0,1,-2,10,14,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-28,10,9,45,24,26,-4
AU,Australia,New South Wales,,AU-NSW,,2020-02-28,3,5,3,12,18,-4
AU,Australia,Northern Territory,,AU-NT,,2020-02-28,11,9,4,5,21,-2
AU,Australia,Queensland,,AU-QLD,,2020-02-28,0,2,-4,9,17,-2
AU,Australia,South Australia,,AU-SA,,2020-02-28,5,3,10,18,17,-3
AU,Australia,Tasmania,,AU-TAS,,2020-02-28,0,0,-5,5,17,-1
AU,Australia,Victoria,,AU-VIC,,2020-02-28,9,4,-2,16,16,-3
AU,Australia,Western Australia,,AU-WA,,2020-02-28,0,5,-15,6,14,-1
AU,Australia,,,,,2020-02-28,4,6,0,14,17,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-02-29,16,12,87,26,10,-3
AU,Australia,New South Wales,,AU-NSW,,2020-02-29,6,9,13,15,4,-2
AU,Australia,Northern Territory,,AU-NT,,2020-02-29,11,10,18,-10,6,1
AU,Australia,Queensland,,AU-QLD,,2020-02-29,6,5,1,8,3,0
AU,Australia,South Australia,,AU-SA,,2020-02-29,9,2,29,23,4,-1
AU,Australia,Tasmania,,AU-TAS,,2020-02-29,3,-3,-5,1,2,0
AU,Australia,Victoria,,AU-VIC,,2020-02-29,7,6,22,16,5,-1
AU,Australia,Western Australia,,AU-WA,,2020-02-29,3,6,5,0,1,0
AU,Australia,,,,,2020-02-29,6,6,18,11,4,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-01,11,20,69,21,3,-2
AU,Australia,New South Wales,,AU-NSW,,2020-03-01,4,9,27,4,0,-1
AU,Australia,Northern Territory,,AU-NT,,2020-03-01,5,15,13,-2,4,1
AU,Australia,Queensland,,AU-QLD,,2020-03-01,3,6,5,2,0,0
AU,Australia,South Australia,,AU-SA,,2020-03-01,2,4,5,5,-1,0
AU,Australia,Tasmania,,AU-TAS,,2020-03-01,-4,-2,-13,4,0,2
AU,Australia,Victoria,,AU-VIC,,2020-03-01,4,7,8,6,-2,0
AU,Australia,Western Australia,,AU-WA,,2020-03-01,8,7,18,10,-1,-1
AU,Australia,,,,,2020-03-01,4,7,20,6,-1,0
